Rk,School,Conf,G,W,L,SRS,SOS,Tm_Pts,Opp_Pts,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,ORtg,DRtg,AdjT,Luck,NetRtg,NetRtgNorm,LastFive,LastFiveNorm,OverEightScorers,OverEightScorersNorm,Experience,ExperienceNorm,,,,
301,Tennessee,SEC,34,27,7,24.86,13.15,2541,2143,65.5,0.354,0.43,0.565,53.6,60.2,10.6,16.1,0.528,13.7,35.4,0.263,120.3,89.1,63.6,0.016,15.95,0.876180483,3,0.5,4,0.333333333,2.71429,0.448298861,,,,
305,Texas,SEC,34,19,15,16.18,9.98,2667,2456,68.4,0.366,0.354,0.565,50.6,47.5,9.1,11.7,0.525,12.5,29.8,0.274,116.7,99.5,67.4,-0.057,14,0.807974816,3,0.5,5,0.666666667,2.75,0.472602786,,,,
306,Texas A&M,SEC,32,22,10,20.04,13.66,2378,2174,67.5,0.417,0.376,0.517,56.3,47.7,11.1,13.9,0.475,14.7,42,0.29,116.2,92.1,66.1,0.001,16.14,0.882826163,3,0.5,3,0,2.8125,0.515139759,,,,
310,Texas Tech,B12,33,25,8,23.9,10.57,2670,2230,66.4,0.297,0.446,0.585,53.2,58.5,9.7,8.1,0.555,12.6,34.3,0.227,125.3,97.2,65.4,-0.045,11.25,0.711787338,4,0.75,6,1,2.71429,0.448298861,,,,
315,Troy,SB,33,23,10,3.61,-2.85,2438,2159,67.5,0.387,0.447,0.545,53.9,55.4,14,13.2,0.505,16.6,39.5,0.279,107.7,100.8,66.3,-0.009,-2.91,0.216509269,5,1,3,0,2.47059,0.282438696,,,,
322,UC San Diego,BW,34,30,4,13.02,-2.07,2712,2095,67.4,0.325,0.504,0.588,49.8,58.3,14.7,7.3,0.558,11.4,26.8,0.242,115.2,96.5,65.6,0.01,-1.63,0.261280168,5,1,4,0.333333333,2.6875,0.430065813,,,,
325,UCLA,B10,32,22,10,19.22,10.19,2392,2103,66.6,0.329,0.36,0.558,51.2,60.5,12.2,10.5,0.53,13.7,32.8,0.232,116.8,95.1,64.9,-0.008,12.54,0.75690801,3,0.5,5,0.666666667,2.41176,0.242399494,,,,
328,UNC Wilmington,CAA,34,27,7,2.31,-4.5,2699,2377,67.2,0.374,0.365,0.572,55.2,54.8,9.6,10.4,0.533,13.6,36.7,0.28,112.3,107.1,65.3,0.055,-4.62,0.156698146,5,1,6,1,2.82353,0.522646684,,,,
331,Utah State,MWC,33,26,7,14.46,5.21,2669,2309,67.5,0.375,0.425,0.593,52.3,61.4,12.8,9.1,0.567,13.6,34.9,0.263,120.7,105.5,67.5,0.086,5.69,0.517313746,2,0.25,3,0,2.57143,0.35106955,,,,
337,Vanderbilt,SEC,32,20,12,15.02,10.18,2548,2393,70.2,0.34,0.402,0.554,50.3,50.1,12.8,11.4,0.517,12.6,32.2,0.254,117.9,101.8,69.4,0.025,12.91,0.769849598,2,0.25,5,0.666666667,2.9444,0.604909788,,,,
341,Virginia Commonwealth,A10,34,28,6,15.17,1.35,2622,2121,66.7,0.328,0.476,0.56,53.5,56.4,12.1,15.6,0.525,14.1,37.1,0.244,116.3,95.7,66.1,-0.051,1.3,0.363763554,4,0.75,5,0.666666667,2.53846,0.328630446,,,,
358,Wisconsin,B10,35,26,9,20.94,11.65,2790,2465,68.6,0.338,0.481,0.582,51.8,54.9,7.5,6.1,0.536,12.4,28,0.279,122,96,67.6,-0.033,13.86,0.803077999,3,0.5,5,0.666666667,2.64706,0.40254269,,,,
359,Wofford,SC,34,19,15,-0.28,-3.03,2561,2374,65.3,0.307,0.48,0.555,55.5,56,9.2,8.7,0.535,13.9,37,0.203,113.6,109.5,64,-0.032,-0.73,0.292759706,4,0.75,5,0.666666667,2.46154,0.276279342,,,,
362,Xavier,BE,32,21,11,15.56,8.41,2497,2268,69.4,0.372,0.374,0.584,51,63.9,11,7.2,0.539,14.4,25.2,0.295,115.5,98.3,69.1,-0.02,9.39,0.646729626,4,0.75,4,0.333333333,3.35294,0.882958668,,,,
363,Yale,Ivy,29,22,7,6.78,-3.65,2368,2022,68.9,0.315,0.322,0.581,55.1,54.5,8.4,12,0.553,12.4,33.5,0.231,115.1,104,67.2,-0.041,-2.56,0.228751312,4,0.75,4,0.333333333,2.8,0.506632365,,,,
